Taxonomic_classification,Threat_Reclassified,RefID,Min_Concentration_ppm,Max_Concentration_ppm,Measurement
Mollusca,"Tolerance, Mechanistic, Osmoreg",102,0,2922,NaCl
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",105,0.07293,4.862,Mg3+
Fish,"Tolerance, Mechanistic, Osmoreg",109,4.008,40.08,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",109,4.008,40.08,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",109,4.008,40.08,Ca2+
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",111,0.5844,58.44,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Mollusca,Invasive Spp,113,233.76,5960.88,NaCl
Fish,Aquaculture,116,0,1700.0000000000002,Na2SO4
Fish,Aquaculture,116,0,1700.0000000000002,NaCl
Fish,Aquaculture,116,0,1700.0000000000002,NaCl
Fish,Aquaculture,116,0,1700.0000000000002,NaCl
Fish,Aquaculture,116,0,1700.0000000000002,NaCl
Fish,Aquaculture,116,0,1700.0000000000002,Na2SO4
Fish,Aquaculture,116,0,1700.0000000000002,NaCl
Fish,Aquaculture,116,0,1700.0000000000002,KCl
Fish,"Tolerance, Mechanistic, Osmoreg",120,1000,12000,NA
Fish,"Tolerance, Mechanistic, Osmoreg",120,1000,12000,NA
Fish,"Tolerance, Mechanistic, Osmoreg",120,1000,12000,NA
Fish,"Tolerance, Mechanistic, Osmoreg",120,1000,12000,NA
Fish,"Tolerance, Mechanistic, Osmoreg",120,1000,12000,NA
Mollusca,"Tolerance, Mechanistic, Osmoreg",125,0.45765000000000006,41.49360000000001,HCO3-
Mollusca,"Tolerance, Mechanistic, Osmoreg",125,0.12024,12.4248,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",128,0,15,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",128,0,15,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",128,0,15,Ca2+
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,Anthropogenic: Multiple sources,138,5.31,97.51,NO3-
Fish,1,139,0.72,11.3,Ca2+
Fish,1,139,0.72,11.3,Ca2+
Fish,1,139,0.72,11.3,Ca2+
Fish,1,139,0.72,11.3,Ca2+
Crustacean,Anthropogenic: Multiple sources,142,2,140,NaCl
Crustacean,Anthropogenic: Multiple sources,142,2,140,NaCl
Insect,Anthropogenic: Multiple sources,142,2,7,NaCl
Crustacean,Anthropogenic: Multiple sources,142,2,140,NaCl
Crustacean,Anthropogenic: Multiple sources,142,2,140,NaCl
Insect,Anthropogenic: Multiple sources,142,2,7,NaCl
Fish,Aquaculture,154,0,4000,NaCl
Fish,Aquaculture,154,0,4000,NaCl
Fish,Aquaculture,154,0,4000,NaCl
Fish,Aquaculture,154,0,4000,NaCl
Fish,Aquaculture,154,0,4000,NaCl
Fish,Aquaculture,154,0,4000,NaCl
Fish,Aquaculture,156,0,3000,NaCl
Fish,Aquaculture,156,0,3000,NaCl
Fish,Aquaculture,156,0,3000,NaCl
Fish,Aquaculture,156,0,3000,NaCl
Fish,1,158,22,92,Ca2+
Fish,1,158,22,92,Ca2+
Fish,1,158,22,92,Ca2+
Fish,1,158,22,92,Ca2+
Fish,1,158,22,92,Ca2+
Fish,Agriculture,160,0,3000,NaCl
Fish,Agriculture,160,0,3000,NaCl
Fish,Agriculture,160,0,3000,NaCl
Fish,Agriculture,160,0,3000,NaCl
Fish,Agriculture,160,0,3000,NaCl
Crustacean,Invasive Spp,165,17.725,354.5,Cl-
Crustacean,Invasive Spp,165,17.725,354.5,Cl-
Crustacean,Invasive Spp,165,17.725,354.5,Cl-
Fish,"Tolerance, Mechanistic, Osmoreg",168,0,7000,NaCl
Fish,"Tolerance, Mechanistic, Osmoreg",168,0,7000,NaCl
Fish,Aquaculture,169,0,3000,NaCl
Fish,Aquaculture,169,0,3000,NaCl
Fish,Aquaculture,169,0,3000,NaCl
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
Fish,"Tolerance, Mechanistic, Osmoreg",173,4.008,400.79999999999995,Ca2+
