DataID,RefID,Reviewer,Focal: Salt/Ion type (if known) OR Conductivity,Units for salt concentration_original,Minimum concentration_original,Maximum concentration_original,Rate of change in salt (if applicaple),Temperature (C),TempSingleValue/Min,TempMax,Measurement,MeasurementNotes,TempNotes,TempPlusMinus
145,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
146,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
147,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
148,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
149,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
150,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
151,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
152,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
153,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
154,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
155,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
156,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
157,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
158,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
159,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
160,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
161,120,Amber,NA,g L-1,1,12,NA,NA,NA,NA,NA,NA,NA,NA
162,120,Amber,NA,g L-1,1,12,NA,NA,NA,NA,NA,NA,NA,NA
163,120,Amber,NA,g L-1,1,12,NA,NA,NA,NA,NA,NA,NA,NA
164,120,Amber,NA,g L-1,1,12,NA,NA,NA,NA,NA,NA,NA,NA
165,120,Amber,NA,g L-1,1,12,NA,NA,NA,NA,NA,NA,NA,NA
166,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
167,320,Carl,NaCl,g NaCl/L,0.25,8,NA,NA,NA,NA,NaCl,NA,NA,NA
168,320,Carl,NaCl,g NaCl/L,0.5,8,NA,NA,NA,NA,NaCl,NA,NA,NA
